product_name,Month,Predicted_sales_count,Year
Beach Shirt,1,495.2254251241684,2022
Beach Shirt,2,442.89601790905,2022
Beach Shirt,3,419.4677528142929,2022
Beach Shirt,4,404.6577092409134,2022
Beach Shirt,5,404.2520428299904,2022
Beach Shirt,6,399.5735008716583,2022
Beach Shirt,7,417.6378345489502,2022
Beach Shirt,8,422.81559056043625,2022
Beach Shirt,9,425.3899704813957,2022
Beach Shirt,10,432.07068794965744,2022
Beach Shirt,11,433.2832077741623,2022
Beach Shirt,12,435.87998473644257,2022
Biker Jacket,1,306.53199177980423,2022
Biker Jacket,2,372.9862130880356,2022
Biker Jacket,3,404.5768799185753,2022
Biker Jacket,4,391.8601198196411,2022
Biker Jacket,5,391.7716915011406,2022
Biker Jacket,6,375.3946549296379,2022
Biker Jacket,7,382.3531357049942,2022
Biker Jacket,8,384.0481117963791,2022
Biker Jacket,9,383.82510125637054,2022
Biker Jacket,10,383.12847328186035,2022
Biker Jacket,11,382.9502568244934,2022
Biker Jacket,12,382.8323124051094,2022
Blouse,1,396.8588194847107,2022
Blouse,2,335.87851506471634,2022
Blouse,3,317.7425108551979,2022
Blouse,4,305.66702604293823,2022
Blouse,5,313.69496554136276,2022
Blouse,6,317.87865287065506,2022
Blouse,7,312.7910849452019,2022
Blouse,8,299.6378625035286,2022
Blouse,9,301.4551424384117,2022
Blouse,10,300.59065663814545,2022
Blouse,11,300.16703259944916,2022
Blouse,12,299.8155190348625,2022
Business Shirt,1,350.4459506869316,2022
Business Shirt,2,359.79879516363144,2022
Business Shirt,3,359.358213365078,2022
Business Shirt,4,377.3112417459488,2022
Business Shirt,5,358.23216211795807,2022
Business Shirt,6,360.30968767404556,2022
Business Shirt,7,362.0149824023247,2022
Business Shirt,8,362.2644294500351,2022
Business Shirt,9,362.230033993721,2022
Business Shirt,10,362.21343618631363,2022
Business Shirt,11,361.82332772016525,2022
Business Shirt,12,361.97222805023193,2022
Casual Jeans,1,436.9382449388504,2022
Casual Jeans,2,434.20484602451324,2022
Casual Jeans,3,437.5236876010895,2022
Casual Jeans,4,427.251084625721,2022
Casual Jeans,5,430.7485426068306,2022
Casual Jeans,6,431.0470231771469,2022
Casual Jeans,7,406.3774420619011,2022
Casual Jeans,8,380.4821428656578,2022
Casual Jeans,9,331.3745500445366,2022
Casual Jeans,10,286.1644823551178,2022
Casual Jeans,11,271.44526678323746,2022
Casual Jeans,12,269.7672084569931,2022
Chino Shorts,1,397.96223372220993,2022
Chino Shorts,2,409.0663668513298,2022
Chino Shorts,3,401.82536339759827,2022
Chino Shorts,4,421.32522743940353,2022
Chino Shorts,5,420.0116009712219,2022
Chino Shorts,6,417.3508324623108,2022
Chino Shorts,7,432.92401522397995,2022
Chino Shorts,8,456.76426589488983,2022
Chino Shorts,9,466.40771198272705,2022
Chino Shorts,10,466.72443014383316,2022
Chino Shorts,11,467.898275077343,2022
Chino Shorts,12,469.3610818386078,2022
Heels,1,376.66748678684235,2022
Heels,2,367.57828748226166,2022
Heels,3,344.4782190322876,2022
Heels,4,337.39119523763657,2022
Heels,5,327.72743183374405,2022
Heels,6,287.7298755645752,2022
Heels,7,232.68660685420036,2022
Heels,8,235.41334664821625,2022
Heels,9,233.76760405302048,2022
Heels,10,230.92421966791153,2022
Heels,11,228.21253788471222,2022
Heels,12,225.71962720155716,2022
Pattern Skirt,1,408.1026941537857,2022
Pattern Skirt,2,403.5205394625664,2022
Pattern Skirt,3,369.74440133571625,2022
Pattern Skirt,4,333.82050693035126,2022
Pattern Skirt,5,293.82191079854965,2022
Pattern Skirt,6,239.20020639896393,2022
Pattern Skirt,7,247.55070328712463,2022
Pattern Skirt,8,246.98033863306046,2022
Pattern Skirt,9,242.84416502714157,2022
Pattern Skirt,10,238.93538138270378,2022
Pattern Skirt,11,236.04892268776894,2022
Pattern Skirt,12,234.13721522688866,2022
Summer Dress,1,425.03229773044586,2022
Summer Dress,2,395.4419666528702,2022
Summer Dress,3,380.57493060827255,2022
Summer Dress,4,376.88005870580673,2022
Summer Dress,5,367.3397989869118,2022
Summer Dress,6,338.0076737999916,2022
Summer Dress,7,304.17210352420807,2022
Summer Dress,8,257.1791113615036,2022
Summer Dress,9,259.122794598341,2022
Summer Dress,10,256.75652718544006,2022
Summer Dress,11,253.67261457443237,2022
Summer Dress,12,250.60549974441528,2022
Wool Jacket,1,377.8882055282593,2022
Wool Jacket,2,350.2389380335808,2022
Wool Jacket,3,358.1675306558609,2022
Wool Jacket,4,377.23977118730545,2022
Wool Jacket,5,356.0987639427185,2022
Wool Jacket,6,339.383052110672,2022
Wool Jacket,7,292.3679828643799,2022
Wool Jacket,8,269.4019767045975,2022
Wool Jacket,9,272.05274653434753,2022
Wool Jacket,10,270.0924854874611,2022
Wool Jacket,11,267.58921617269516,2022
Wool Jacket,12,264.81782227754593,2022
