product_name,Month,Predicted_sales_count,Year
Beach Shirt,1,241.00700771808624,2023
Beach Shirt,2,572.4001502394676,2023
Beach Shirt,3,76.10639131069183,2023
Beach Shirt,4,191.42695730924606,2023
Beach Shirt,5,430.8964830636978,2023
Beach Shirt,6,485.08680444955826,2023
Beach Shirt,7,239.16167148947716,2023
Beach Shirt,8,312.11267456412315,2023
Beach Shirt,9,781.6683056354522,2023
Beach Shirt,10,412.58978140354156,2023
Beach Shirt,11,421.27747374773026,2023
Beach Shirt,12,930.2708350419997,2023
Biker Jacket,1,632.2259271740913,2023
Biker Jacket,2,381.6283314526081,2023
Biker Jacket,3,717.5817715525626,2023
Biker Jacket,4,347.31728398799896,2023
Biker Jacket,5,195.4166102707386,2023
Biker Jacket,6,407.9982679486275,2023
Biker Jacket,7,292.6206894814968,2023
Biker Jacket,8,257.88527807593346,2023
Biker Jacket,9,355.54023772478104,2023
Biker Jacket,10,340.2373792529106,2023
Biker Jacket,11,302.94614547491074,2023
Biker Jacket,12,358.19736671447754,2023
Blouse,1,377.67243403196335,2023
Blouse,2,882.3938796520232,2023
Blouse,3,452.0067343711853,2023
Blouse,4,562.2420121431351,2023
Blouse,5,343.50826716423035,2023
Blouse,6,423.4459072947502,2023
Blouse,7,310.3326497077942,2023
Blouse,8,392.12428492307663,2023
Blouse,9,351.5676625072956,2023
Blouse,10,286.71638944745064,2023
Blouse,11,305.631690710783,2023
Blouse,12,307.00324952602386,2023
Business Shirt,1,428.65353935956955,2023
Business Shirt,2,726.3167376518248,2023
Business Shirt,3,429.74139565229416,2023
Business Shirt,4,628.8516929149628,2023
Business Shirt,5,450.59500086307526,2023
Business Shirt,6,623.0483795404434,2023
Business Shirt,7,530.919549882412,2023
Business Shirt,8,593.8810325860977,2023
Business Shirt,9,561.9416518211365,2023
Business Shirt,10,586.0031132698059,2023
Business Shirt,11,576.4589340686798,2023
Business Shirt,12,585.0509190559387,2023
Casual Jeans,1,205.98435425758362,2023
Casual Jeans,2,390.16182416677475,2023
Casual Jeans,3,323.3139748573303,2023
Casual Jeans,4,256.76860558986664,2023
Casual Jeans,5,239.04562681913376,2023
Casual Jeans,6,242.50424993038177,2023
Casual Jeans,7,269.25627595186234,2023
Casual Jeans,8,249.35580483078957,2023
Casual Jeans,9,263.76558127999306,2023
Casual Jeans,10,220.3435373902321,2023
Casual Jeans,11,224.65984719991684,2023
Casual Jeans,12,222.1850941181183,2023
Chino Shorts,1,570.3011875152588,2023
Chino Shorts,2,582.5565285682678,2023
Chino Shorts,3,24.336930125951767,2023
Chino Shorts,4,304.0973733961582,2023
Chino Shorts,5,930.0112693309783,2023
Chino Shorts,6,506.90424233675003,2023
Chino Shorts,7,622.4975323081017,2023
Chino Shorts,8,770.1464676856993,2023
Chino Shorts,9,482.0575646162033,2023
Chino Shorts,10,541.8451066017151,2023
Chino Shorts,11,693.1469994187354,2023
Chino Shorts,12,612.6914277076721,2023
Heels,1,503.7951730489731,2023
Heels,2,282.0070715546608,2023
Heels,3,275.6606699228287,2023
Heels,4,205.07417449355125,2023
Heels,5,613.2160784006119,2023
Heels,6,409.94473081827164,2023
Heels,7,314.5585114657879,2023
Heels,8,386.45703357458115,2023
Heels,9,473.64731562137604,2023
Heels,10,478.63549667596817,2023
Heels,11,443.03711926937103,2023
Heels,12,428.3004660010338,2023
Pattern Skirt,1,697.2113825082778,2023
Pattern Skirt,2,363.6447871029377,2023
Pattern Skirt,3,524.0477776527405,2023
Pattern Skirt,4,487.6079514026642,2023
Pattern Skirt,5,223.34524086117744,2023
Pattern Skirt,6,343.1163989305496,2023
Pattern Skirt,7,242.54602441191673,2023
Pattern Skirt,8,264.7172755599022,2023
Pattern Skirt,9,232.46615597605705,2023
Pattern Skirt,10,237.5254276394844,2023
Pattern Skirt,11,229.45729345083237,2023
Pattern Skirt,12,231.02592623233795,2023
Summer Dress,1,500.39142268896103,2023
Summer Dress,2,157.6780555844307,2023
Summer Dress,3,333.1980691552162,2023
Summer Dress,4,465.7130837440491,2023
Summer Dress,5,602.1467406749725,2023
Summer Dress,6,236.4568088054657,2023
Summer Dress,7,584.4945125579834,2023
Summer Dress,8,500.01439249515533,2023
Summer Dress,9,427.73946011066437,2023
Summer Dress,10,487.4359341263771,2023
Summer Dress,11,551.6828470230103,2023
Summer Dress,12,434.4172979593277,2023
Wool Jacket,1,297.2236614227295,2023
Wool Jacket,2,422.28466069698334,2023
Wool Jacket,3,286.71370980143547,2023
Wool Jacket,4,679.7952432036399,2023
Wool Jacket,5,443.6064040660858,2023
Wool Jacket,6,388.18436539173126,2023
Wool Jacket,7,242.86600214242935,2023
Wool Jacket,8,323.02881252765656,2023
Wool Jacket,9,375.16504526138306,2023
Wool Jacket,10,333.8039491176605,2023
Wool Jacket,11,555.2084612846375,2023
Wool Jacket,12,520.3681837320328,2023
